model,nsims,tpb,mem,cupsodatime,cupsoda_io_time,pythontime,rtol,atol,mxsteps,t_end,n_steps,vol,card
ras,10,16,1,3.302038,3.61314201355,3.69164204597,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100,16,1,3.393885,3.89059591293,4.1732199192,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,1000,16,1,3.769746,5.56842494011,7.13013005257,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,10000,16,1,19.784836,34.7724208832,48.8067901134,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100000,16,1,184.072998,330.929105043,474.288840055,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,10,16,2,2.920721,3.26555800438,3.35277295113,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100,16,2,2.980734,3.50445604324,3.78449296951,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,1000,16,2,3.335183,5.16379189491,6.65022802353,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,10000,16,2,17.980259,32.9867529869,47.3216180801,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100000,16,2,169.109772,317.023525953,459.747196913,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,10,32,0,4.100722,4.39332604408,4.48295903206,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100,32,0,4.513871,4.98633384705,5.27500104904,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,1000,32,0,5.18587,7.33701705933,9.09525299072,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,10000,32,0,24.204739,39.0496599674,54.6568129063,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100000,32,0,251.26564,399.497370958,550.293768167,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,10,32,1,3.344163,3.65886497498,3.74185585976,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100,32,1,3.61969,4.11938905716,4.40059709549,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,1000,32,1,4.176501,6.273001194,7.925812006,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,10000,32,1,18.873167,34.0087151527,49.0776388645,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100000,32,1,193.380829,340.313783884,491.756448984,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,10,32,2,2.917335,3.25858688354,3.34359097481,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
ras,100,32,2,3.177548,3.70124387741,4.00089406967,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
